popularity,acousticness,danceability,energy,liveness,loudness,speechiness,tempo,valence,year,duration_min
73,0.701,0.397,0.207,0.116,-13.155,0.0331,171.282,0.268,1986,3.793333333
61,0.0161,0.883,0.553,0.228,-13.232,0.944,91.753,0.578,1986,3.680666667
68,0.00203,0.914,0.586,0.0992,-8.435,0.33,116.371,0.655,1986,2.624
66,0.00835,0.581,0.791,0.142,-7.262,0.0324,123.887,0.619,1986,4.27155
63,0.294,0.685,0.594,0.358,-10.906,0.0289,121.761,0.853,1986,3.069333333
72,0.101,0.608,0.768,0.0942,-9.911,0.0364,132.699,0.748,1986,3.519333333
74,0.0704,0.401,0.901,0.538,-5.011,0.041,134.799,0.839,1986,3.222
67,0.0427,0.696,0.78,0.298,-12.159,0.0415,98.699,0.954,1986,5.858433333
65,0.186,0.617,0.931,0.171,-6.845,0.0345,131.014,0.849,1986,3.4671
71,0.00658,0.913,0.596,0.078,-12.477,0.0707,127.215,0.973,1986,4.53555
84,0.0663,0.541,0.96,0.344,-2.947,0.0505,122.803,0.812,1986,3.711766667
73,0.589,0.454,0.673,0.252,-13.425,0.0265,163.954,0.827,1986,3.150666667
73,0.538,0.746,0.786,0.0656,-7.273,0.0428,93.767,0.968,1986,5.134
60,0.0632,0.621,0.645,0.0703,-9.37,0.0352,89.284,0.63,1986,5.506216667
64,0.377,0.708,0.577,0.0718,-8.229,0.0261,85.667,0.836,1986,2.982883333
73,0.304,0.724,0.822,0.0553,-4.374,0.0333,99.9,0.964,1986,4.04555
78,0.182,0.776,0.763,0.077,-8.124,0.0534,128.433,0.82,1986,4.666666667
62,0.777,0.873,0.808,0.357,-6.729,0.0466,139.676,0.933,1986,2.211766667
69,0.0606,0.531,0.626,0.0767,-13.371,0.0452,88.236,0.746,1986,3.794883333
77,0.13,0.252,0.802,0.309,-3.976,0.0391,150.056,0.253,1986,5.144433333
61,0.044,0.641,0.682,0.0394,-7.561,0.0392,96.319,0.468,1986,5.199766667
68,0.0804,0.613,0.885,0.0997,-7.463,0.052,118.506,0.919,1986,4.386883333
79,0.0158,0.625,0.726,0.0625,-11.402,0.0444,124.945,0.507,1986,4.673333333
60,0.0144,0.711,0.833,0.303,-12.756,0.0851,103.153,0.756,1986,3.3871
71,0.607,0.582,0.689,0.145,-12.203,0.0277,111.166,0.531,1986,4.964216667
78,0.0148,0.439,0.422,0.0697,-17.227,0.0409,81.833,0.551,1986,3.948883333
62,0.000211,0.48,0.923,0.106,-8.793,0.0682,96.535,0.44,1986,5.206
74,0.00067,0.539,0.828,0.154,-9.108,0.035,105.25,0.562,1986,8.589766667
87,0.0778,0.532,0.887,0.294,-3.757,0.0335,122.511,0.795,1986,4.154883333
78,0.332,0.548,0.294,0.0392,-17.112,0.0333,76.698,0.491,1986,4.26955
75,0.0805,0.52,0.61,0.276,-7.935,0.0282,144.983,0.329,1986,4.30555
68,0.932,0.419,0.331,0.102,-10.497,0.0293,80.647,0.322,1986,2.609333333
72,0.12,0.698,0.774,0.394,-8.642,0.048,133.197,0.731,1986,4.512
63,0.00853,0.491,0.957,0.371,-3.67,0.096,158.067,0.635,1986,3.728883333
76,0.0245,0.616,0.685,0.0491,-15.289,0.04,150.055,0.895,1986,5.80555
70,0.0847,0.407,0.424,0.234,-10.583,0.0318,113.311,0.404,1986,5.819766667
73,0.000943,0.656,0.914,0.159,-7.471,0.0394,113.259,0.576,1986,4.7651
71,0.000286,0.514,0.825,0.607,-5.135,0.0487,125.274,0.655,1986,3.452433333
69,0.961,0.224,0.146,0.113,-16.331,0.0338,94.255,0.142,1986,2.178216667
73,0.00757,0.503,0.858,0.0803,-6.296,0.0657,133.615,0.419,1986,3.47755
81,0.04,0.523,0.769,0.136,-5.855,0.0269,136.162,0.876,1986,4.076433333
75,0.122,0.712,0.691,0.0538,-8.157,0.128,97.022,0.742,1986,4.11555
72,0.00131,0.965,0.857,0.0726,-8.458,0.17,127.656,0.951,1986,3.062666667
66,0.00233,0.577,0.807,0.0755,-9.281,0.0449,114.921,0.891,1986,3.416666667
79,0.0628,0.529,0.843,0.0608,-6.908,0.0616,117.662,0.188,1986,5.172216667
76,0.0135,0.898,0.271,0.0461,-12.238,0.091,111.485,0.742,1986,3.770666667
66,0.000489,0.294,0.995,0.128,-4.383,0.168,88.777,0.0379,1986,4.24
71,0.0174,0.761,0.711,0.0652,-7.989,0.0604,105.448,0.947,1986,5.1731
67,0.0025,0.668,0.779,0.139,-11.089,0.0325,140.873,0.963,1986,4.0911
63,0.229,0.661,0.496,0.0753,-15.53,0.0357,165.549,0.948,1986,2.587766667
59,0.29,0.603,0.503,0.135,-14.862,0.0379,168.512,0.647,1986,5.597333333
60,0.00575,0.537,0.9,0.2,-11.88,0.0301,132.742,0.549,1986,3.707766667
56,0.0013,0.367,0.672,0.111,-10.014,0.0378,128.497,0.382,1986,8.453766667
66,8.57E-05,0.322,0.932,0.0969,-4.252,0.163,138.042,0.376,1986,4.069333333
58,0.0127,0.445,0.768,0.0925,-8.836,0.0347,112.796,0.32,1986,5.303766667
61,0.0521,0.624,0.516,0.0454,-7.673,0.0227,97.234,0.631,1986,3.928433333
60,0.000119,0.332,0.994,0.142,-4.336,0.137,106.086,0.0829,1986,4.857333333
67,0.343,0.833,0.934,0.0521,-3.243,0.0313,121.879,0.964,1986,4.47555
56,0.144,0.377,0.606,0.0879,-7.409,0.0262,83.972,0.291,1986,3.826
